sub,source,target,fold,z_acc,score1,score2,score3,score4,score5,score6,score7,score8,score9
1,"['1', '2', '3', '4', '5', '6', '7', '8', '9']","['1', '2', '3', '4', '5', '6', '7', '8', '9']",0,0.6188001889466226,0.6109324758842444,0.4983164983164983,0.8366972477064221,0.625,0.34489593657086226,0.4783582089552239,0.8230088495575221,0.46527196652719666,0.7823936696340257
1,"['1', '2', '3', '4', '5', '6', '7', '8', '9']","['1', '2', '3', '4', '5', '6', '7', '8', '9']",1,0.6096938775510204,0.5472560975609756,0.42419716206123975,0.7482876712328768,0.565290648694187,0.3843137254901961,0.5472918350848828,0.8602941176470589,0.5644283121597096,0.7165829145728643
1,"['1', '2', '3', '4', '5', '6', '7', '8', '9']","['1', '2', '3', '4', '5', '6', '7', '8', '9']",2,0.5735335789175404,0.5633898305084746,0.4386317907444668,0.8,0.582089552238806,0.33256880733944955,0.42314872433105166,0.836976320582878,0.43527630582891746,0.6602031394275162
1,"['1', '2', '3', '4', '5', '6', '7', '8', '9']","['1', '2', '3', '4', '5', '6', '7', '8', '9']",3,0.5648148148148148,0.5950128976784179,0.4777887462981244,0.7775147928994083,0.44600280504908835,0.3325490196078431,0.49620493358633777,0.8383010432190761,0.4314079422382672,0.601620029455081
1,"['1', '2', '3', '4', '5', '6', '7', '8', '9']","['1', '2', '3', '4', '5', '6', '7', '8', '9']",4,0.6079931972789115,0.6560402684563759,0.48063380281690143,0.7668952007835456,0.5059602649006623,0.36772486772486773,0.5210016155088854,0.8571428571428571,0.5817972350230415,0.6420168067226891
2,"['1', '2', '3', '4', '5', '6', '7', '8', '9']","['1', '2', '3', '4', '5', '6', '7', '8', '9']",0,0.47241118669690096,0.4838709677419355,0.4308600337268128,0.6556603773584906,0.4074074074074074,0.35311572700296734,0.35783879539415414,0.54035683942226,0.3979785217940619,0.5277136258660509
2,"['1', '2', '3', '4', '5', '6', '7', '8', '9']","['1', '2', '3', '4', '5', '6', '7', '8', '9']",1,0.44908369544681653,0.46530920060331826,0.4011437908496732,0.5262267343485617,0.4397537379067722,0.2296360485268631,0.37969924812030076,0.5735785953177257,0.34676258992805753,0.5695509309967142
2,"['1', '2', '3', '4', '5', '6', '7', '8', '9']","['1', '2', '3', '4', '5', '6', '7', '8', '9']",2,0.43905895691609975,0.46169630642954856,0.3339160839160839,0.579136690647482,0.42764378478664195,0.27007299270072993,0.296551724137931,0.6080525883319639,0.3290570878768441,0.5587905935050392
2,"['1', '2', '3', '4', '5', '6', '7', '8', '9']","['1', '2', '3', '4', '5', '6', '7', '8', '9']",3,0.4584789796882381,0.501531393568147,0.43500363108206247,0.6515609264853978,0.42168674698795183,0.2992125984251969,0.3247706422018349,0.5369068541300527,0.38589981447124305,0.5307539682539683
2,"['1', '2', '3', '4', '5', '6', '7', '8', '9']","['1', '2', '3', '4', '5', '6', '7', '8', '9']",4,0.4562033449872437,0.49657273419649656,0.4,0.5909926470588235,0.3815359477124183,0.3285302593659942,0.3437751004016064,0.5686440677966101,0.3523225241016652,0.5438265786993403
3,"['1', '2', '3', '4', '5', '6', '7', '8', '9']","['1', '2', '3', '4', '5', '6', '7', '8', '9']",0,0.5556500377928949,0.5099046221570066,0.5104895104895105,0.5787321063394683,0.45908028059236167,0.39345711759504864,0.6217948717948718,0.6548358473824313,0.5368577810871183,0.585040071237756
3,"['1', '2', '3', '4', '5', '6', '7', '8', '9']","['1', '2', '3', '4', '5', '6', '7', '8', '9']",1,0.5726568405139834,0.5832531280076997,0.5347744360902256,0.6573295985060691,0.5022970903522205,0.36678507992895204,0.5720524017467249,0.6785109983079526,0.5279001468428781,0.5950349107835532
3,"['1', '2', '3', '4', '5', '6', '7', '8', '9']","['1', '2', '3', '4', '5', '6', '7', '8', '9']",2,0.5467687074829932,0.4846894138232721,0.4268465909090909,0.5774278215223098,0.5231607629427792,0.3632923368022706,0.6320388349514563,0.6280388978930308,0.5721884498480243,0.5885416666666666
