sub,source,target,fold,test_acc,train_acc
1,"['4', '5', '6', '8']",['2'],0,0.9693877551020408,0.9682168482593675
1,"['4', '5', '6', '8']",['2'],1,0.9695578231292517,0.9709806005846399
1,"['4', '5', '6', '8']",['2'],2,0.9688775510204082,0.9710337496678182
1,"['4', '5', '6', '8']",['2'],3,0.9704081632653061,0.9704506802721088
1,"['4', '5', '6', '8']",['2'],4,0.9688775510204082,0.9677385065107627
2,"['4', '5', '6', '8']",['2'],0,0.9350450603638837,0.9469628527395441
2,"['4', '5', '6', '8']",['2'],1,0.9345349430368984,0.9492453231292517
2,"['4', '5', '6', '8']",['2'],2,0.933174630164938,0.9499920284848807
2,"['4', '5', '6', '8']",['2'],3,0.9316442781839823,0.9500425170068028
2,"['4', '5', '6', '8']",['2'],4,0.9326645128379527,0.9498884047188861
3,"['4', '5', '6', '8']",['2'],0,0.9642857142857143,0.9602997448979592
3,"['4', '5', '6', '8']",['2'],1,0.9647959183673469,0.9606186224489796
3,"['4', '5', '6', '8']",['2'],2,0.9651360544217688,0.9602997448979592
3,"['4', '5', '6', '8']",['2'],3,0.9651360544217688,0.9606186224489796
3,"['4', '5', '6', '8']",['2'],4,0.9654761904761905,0.9571109693877551
4,"['4', '5', '6', '8']",['2'],0,0.926032987587145,0.9451057498140079
4,"['4', '5', '6', '8']",['2'],1,0.9243325964971943,0.9450023912003825
4,"['4', '5', '6', '8']",['2'],2,0.9251827920421697,0.9421830162610266
4,"['4', '5', '6', '8']",['2'],3,0.9188913450093521,0.9484004676373685
4,"['4', '5', '6', '8']",['2'],4,0.9265431049141303,0.9442053244061852
5,"['4', '5', '6', '8']",['2'],0,0.9154761904761904,0.9321358346176329
5,"['4', '5', '6', '8']",['2'],1,0.91921768707483,0.9371313174257321
5,"['4', '5', '6', '8']",['2'],2,0.9224489795918367,0.93638730934793
5,"['4', '5', '6', '8']",['2'],3,0.9163265306122449,0.9358524659863946
5,"['4', '5', '6', '8']",['2'],4,0.9204081632653062,0.9322421214858905
6,"['4', '5', '6', '8']",['2'],0,0.9639455782312926,0.9646083537039005
6,"['4', '5', '6', '8']",['2'],1,0.9644557823129252,0.9648190466067917
6,"['4', '5', '6', '8']",['2'],2,0.9625850340136054,0.96359481292517
6,"['4', '5', '6', '8']",['2'],3,0.9625850340136054,0.9639136904761905
6,"['4', '5', '6', '8']",['2'],4,0.963265306122449,0.9659882021576234
7,"['4', '5', '6', '8']",['2'],0,0.7986052049668311,0.935583311187882
7,"['4', '5', '6', '8']",['2'],1,0.7970743323694506,0.9429178846664895
7,"['4', '5', '6', '8']",['2'],2,0.7958836536825991,0.9391442997608291
7,"['4', '5', '6', '8']",['2'],3,0.7987753019220956,0.9396789965986394
7,"['4', '5', '6', '8']",['2'],4,0.8069399557747916,0.9347860749402073
8,"['4', '5', '6', '8']",['2'],0,0.9294217687074829,0.9732688526332571
8,"['4', '5', '6', '8']",['2'],1,0.9421768707482994,0.9754477334325344
8,"['4', '5', '6', '8']",['2'],2,0.9375850340136055,0.9756071637349205
8,"['4', '5', '6', '8']",['2'],3,0.9450680272108843,0.9715667517006803
8,"['4', '5', '6', '8']",['2'],4,0.9488095238095238,0.9739597172769304
1,"['2', '5', '6', '8']",['4'],0,0.9568027210884353,0.9686951900079723
1,"['2', '5', '6', '8']",['4'],1,0.95578231292517,0.9725750730799894
