sub,source,target,fold,test_acc,train_acc
1,['2'],"['4', '5', '6', '8']",0,0.9508482503507802,0.9755527210884354
1,['2'],"['4', '5', '6', '8']",1,0.9546749436625707,0.9772534013605442
1,['2'],"['4', '5', '6', '8']",2,0.9511884008673838,0.9757653061224489
1,['2'],"['4', '5', '6', '8']",3,0.9496152047280921,0.9785289115646258
1,['2'],"['4', '5', '6', '8']",4,0.9500403928738467,0.9759778911564626
2,['2'],"['4', '5', '6', '8']",0,0.9105055057182943,0.9668437832093517
2,['2'],"['4', '5', '6', '8']",1,0.9111857489052336,0.96875
2,['2'],"['4', '5', '6', '8']",2,0.9212193359125888,0.9683315621679065
2,['2'],"['4', '5', '6', '8']",3,0.9155222992219718,0.963230605738576
2,['2'],"['4', '5', '6', '8']",4,0.9146719952382977,0.9659936238044633
3,['2'],"['4', '5', '6', '8']",0,0.9150085034013605,0.9751275510204082
3,['2'],"['4', '5', '6', '8']",1,0.9107568027210884,0.9755527210884354
3,['2'],"['4', '5', '6', '8']",2,0.9175170068027211,0.9787414965986394
3,['2'],"['4', '5', '6', '8']",3,0.9253826530612245,0.9781037414965986
3,['2'],"['4', '5', '6', '8']",4,0.9150510204081632,0.9764030612244898
4,['2'],"['4', '5', '6', '8']",0,0.8447051821621392,0.9568544102019129
4,['2'],"['4', '5', '6', '8']",1,0.819665858946563,0.9485653560042508
4,['2'],"['4', '5', '6', '8']",2,0.8147770267397866,0.9576955782312925
4,['2'],"['4', '5', '6', '8']",3,0.8333545891255367,0.953241232731137
4,['2'],"['4', '5', '6', '8']",4,0.8249372954130001,0.953028692879915
5,['2'],"['4', '5', '6', '8']",0,0.8967305811827728,0.9351615646258503
5,['2'],"['4', '5', '6', '8']",1,0.9125037200799285,0.9419642857142857
5,['2'],"['4', '5', '6', '8']",2,0.9109731729093151,0.9423894557823129
5,['2'],"['4', '5', '6', '8']",3,0.909825262531355,0.9383503401360545
5,['2'],"['4', '5', '6', '8']",4,0.9132689936652353,0.9347363945578231
6,['2'],"['4', '5', '6', '8']",0,0.9205390927256494,0.9740646258503401
6,['2'],"['4', '5', '6', '8']",1,0.9171803919901365,0.9738520408163265
6,['2'],"['4', '5', '6', '8']",2,0.9206241231240169,0.9725765306122449
6,['2'],"['4', '5', '6', '8']",3,0.92891458696484,0.9751275510204082
6,['2'],"['4', '5', '6', '8']",4,0.9220696398962629,0.9713010204081632
7,['2'],"['4', '5', '6', '8']",0,0.7219269526765594,0.9223899638528599
7,['2'],"['4', '5', '6', '8']",1,0.7226922913389174,0.922815224324899
7,['2'],"['4', '5', '6', '8']",2,0.737871508142353,0.9257920476291729
7,['2'],"['4', '5', '6', '8']",3,0.7312385730685829,0.9209183673469388
7,['2'],"['4', '5', '6', '8']",4,0.7271992856839151,0.922815224324899
8,['2'],"['4', '5', '6', '8']",0,0.8654819097827473,0.9904336734693877
8,['2'],"['4', '5', '6', '8']",1,0.8801921687003104,0.9929846938775511
8,['2'],"['4', '5', '6', '8']",2,0.8727945240423451,0.9914965986394558
8,['2'],"['4', '5', '6', '8']",3,0.8732196760341823,0.9906462585034014
8,['2'],"['4', '5', '6', '8']",4,0.868883125717444,0.9889455782312925
1,['4'],"['2', '5', '6', '8']",0,0.9570559972787959,0.9772534013605442
1,['4'],"['2', '5', '6', '8']",1,0.9463412560057826,0.9755527210884354
1,['4'],"['2', '5', '6', '8']",2,0.9559079892852588,0.9778911564625851
1,['4'],"['2', '5', '6', '8']",3,0.9493600918406395,0.9751275510204082
1,['4'],"['2', '5', '6', '8']",4,0.9576512606828521,0.9755527210884354
2,['4'],"['2', '5', '6', '8']",0,0.8908634836954211,0.9785334750265675
2,['4'],"['2', '5', '6', '8']",1,0.8878874197525616,0.9793836344314559
2,['4'],"['2', '5', '6', '8']",2,0.8880574805492963,0.979596174282678
2,['4'],"['2', '5', '6', '8']",3,0.8857616597933762,0.9804421768707483
2,['4'],"['2', '5', '6', '8']",4,0.8867395093746014,0.981721572794899
3,['4'],"['2', '5', '6', '8']",0,0.924702380952381,0.9753401360544217
3,['4'],"['2', '5', '6', '8']",1,0.9183248299319728,0.9717261904761905
3,['4'],"['2', '5', '6', '8']",2,0.9196853741496599,0.9740646258503401
3,['4'],"['2', '5', '6', '8']",3,0.919515306122449,0.9736394557823129
3,['4'],"['2', '5', '6', '8']",4,0.8886904761904761,0.9713010204081632
4,['4'],"['2', '5', '6', '8']",0,0.8610780479510287,0.9477040816326531
4,['4'],"['2', '5', '6', '8']",1,0.856104404012923,0.9474914965986394
4,['4'],"['2', '5', '6', '8']",2,0.8513858187383098,0.9485544217687075
4,['4'],"['2', '5', '6', '8']",3,0.8550841693589526,0.9523809523809523
4,['4'],"['2', '5', '6', '8']",4,0.8754888624383608,0.9613095238095238
5,['4'],"['2', '5', '6', '8']",0,0.8986862803452235,0.9389880952380952
5,['4'],"['2', '5', '6', '8']",1,0.8935419412439948,0.9447278911564626
5,['4'],"['2', '5', '6', '8']",2,0.9040006802431869,0.9453656462585034
5,['4'],"['2', '5', '6', '8']",3,0.8971982483737936,0.9462159863945578
5,['4'],"['2', '5', '6', '8']",4,0.868457973725607,0.9398384353741497
6,['4'],"['2', '5', '6', '8']",0,0.9229591836734694,0.9761904761904762
6,['4'],"['2', '5', '6', '8']",1,0.9300595238095238,0.9766206163655685
6,['4'],"['2', '5', '6', '8']",2,0.9173894557823129,0.9751328374070138
6,['4'],"['2', '5', '6', '8']",3,0.9329931972789116,0.9766206163655685
6,['4'],"['2', '5', '6', '8']",4,0.9502125850340136,0.9766206163655685
7,['4'],"['2', '5', '6', '8']",0,0.8414831193128668,0.9417517006802721
7,['4'],"['2', '5', '6', '8']",1,0.8306828811973808,0.9513180272108843
7,['4'],"['2', '5', '6', '8']",2,0.8351900671825836,0.9496173469387755
7,['4'],"['2', '5', '6', '8']",3,0.8289395356748023,0.9485544217687075
7,['4'],"['2', '5', '6', '8']",4,0.8217960710944808,0.9434523809523809
8,['4'],"['2', '5', '6', '8']",0,0.856936354746822,0.9927721088435374
8,['4'],"['2', '5', '6', '8']",1,0.8534075932145742,0.9880952380952381
8,['4'],"['2', '5', '6', '8']",2,0.8732196760341823,0.9921343537414966
