sub,source,target,fold,1_test,2_test,3_test,4_test,5_test,6_test,1_train,2_train,3_train,4_train,5_train,6_train
1,"['2', '4', '5', '6', '8']","['2', '4', '5', '6', '8']",0,0.8030612244897959,0.8755102040816326,0.8193877551020409,0.8642857142857143,0.9510204081632653,0.8367346938775511,0.8739474355702985,0.9280612244897959,0.8331632653061225,0.960204081632653,0.9558673469387755,0.8790816326530613
1,"['2', '4', '5', '6', '8']","['2', '4', '5', '6', '8']",1,0.7775510204081633,0.7918367346938775,0.6591836734693878,0.9255102040816326,0.8459183673469388,0.7,0.891298800714468,0.9214285714285714,0.8469387755102041,0.9551020408163265,0.9650510204081633,0.9012755102040816
1,"['2', '4', '5', '6', '8']","['2', '4', '5', '6', '8']",2,0.8346938775510204,0.8571428571428571,0.7142857142857143,0.8224489795918367,0.9061224489795918,0.8306122448979592,0.8662924215361062,0.9181122448979592,0.8413265306122449,0.9594387755102041,0.9627551020408164,0.8767857142857143
1,"['2', '4', '5', '6', '8']","['2', '4', '5', '6', '8']",3,0.8100102145045965,0.8663265306122448,0.7153061224489796,0.8918367346938776,0.9193877551020408,0.6683673469387755,0.8811224489795918,0.9280612244897959,0.8354591836734694,0.9538265306122449,0.9607142857142857,0.872704081632653
1,"['2', '4', '5', '6', '8']","['2', '4', '5', '6', '8']",4,0.746938775510204,0.8408163265306122,0.6744897959183673,0.9224489795918367,0.9704081632653061,0.8275510204081633,0.894360806328145,0.9278061224489796,0.8405612244897959,0.960204081632653,0.9556122448979592,0.8737244897959183
2,"['2', '4', '5', '6', '8']","['2', '4', '5', '6', '8']",0,0.6030612244897959,0.6724489795918367,0.7571428571428571,0.726530612244898,0.7030612244897959,0.4857142857142857,0.7462382045396583,0.7811224489795918,0.7384536871650932,0.8063775510204082,0.806171894924764,0.5608263198163733
2,"['2', '4', '5', '6', '8']","['2', '4', '5', '6', '8']",1,0.5728848114169215,0.6214285714285714,0.6295918367346939,0.6857142857142857,0.6564729867482161,0.40816326530612246,0.736734693877551,0.7823979591836735,0.7611635621331972,0.8040816326530612,0.8178571428571428,0.5738332058148432
2,"['2', '4', '5', '6', '8']","['2', '4', '5', '6', '8']",2,0.5071428571428571,0.6030612244897959,0.5908163265306122,0.6663265306122449,0.6816326530612244,0.40816326530612246,0.7536342769701607,0.7829081632653061,0.7721357489155397,0.8158163265306122,0.8074470798265748,0.5672022443254272
2,"['2', '4', '5', '6', '8']","['2', '4', '5', '6', '8']",3,0.6938775510204082,0.6316326530612245,0.5867346938775511,0.613265306122449,0.6989795918367347,0.3985728848114169,0.7153787299158378,0.789030612244898,0.779280428680786,0.8247448979591837,0.8204539658250446,0.5566326530612244
2,"['2', '4', '5', '6', '8']","['2', '4', '5', '6', '8']",4,0.5102040816326531,0.6469387755102041,0.5975485188968335,0.5887755102040816,0.7071428571428572,0.42959183673469387,0.7431777607753124,0.7716836734693877,0.7706632653061225,0.8214285714285714,0.8334608518235144,0.5649069115021678
3,"['2', '4', '5', '6', '8']","['2', '4', '5', '6', '8']",0,0.863265306122449,0.8387755102040816,0.7775510204081633,0.9071428571428571,0.7775510204081633,0.7091836734693877,0.9015306122448979,0.9066326530612245,0.8321428571428572,0.9272959183673469,0.8474489795918367,0.8022959183673469
3,"['2', '4', '5', '6', '8']","['2', '4', '5', '6', '8']",1,0.8428571428571429,0.8387755102040816,0.7571428571428571,0.7693877551020408,0.8030612244897959,0.7561224489795918,0.9076530612244897,0.9012755102040816,0.8369897959183673,0.9451530612244898,0.8474489795918367,0.789795918367347
3,"['2', '4', '5', '6', '8']","['2', '4', '5', '6', '8']",2,0.8673469387755102,0.8489795918367347,0.7122448979591837,0.9306122448979591,0.7520408163265306,0.7193877551020408,0.900765306122449,0.9053571428571429,0.8344387755102041,0.9290816326530612,0.8548469387755102,0.8020408163265306
3,"['2', '4', '5', '6', '8']","['2', '4', '5', '6', '8']",3,0.8663265306122448,0.8122448979591836,0.6724489795918367,0.85,0.6887755102040817,0.6969387755102041,0.9114795918367347,0.8974489795918368,0.8323979591836734,0.9293367346938776,0.8724489795918368,0.799234693877551
3,"['2', '4', '5', '6', '8']","['2', '4', '5', '6', '8']",4,0.7387755102040816,0.8561224489795919,0.726530612244898,0.8836734693877552,0.8357142857142857,0.7877551020408163,0.9191326530612245,0.9,0.8433673469387755,0.9326530612244898,0.8466836734693878,0.7778061224489796
4,"['2', '4', '5', '6', '8']","['2', '4', '5', '6', '8']",0,0.8938775510204081,0.8377551020408164,0.7553516819571865,0.8846938775510204,0.813265306122449,0.6836734693877551,0.9385360877327212,0.9372448979591836,0.8984952818158632,0.9380102040816326,0.9459183673469388,0.7617954603417496
4,"['2', '4', '5', '6', '8']","['2', '4', '5', '6', '8']",1,0.9142857142857143,0.8489795918367347,0.786734693877551,0.9010204081632653,0.9112244897959184,0.55,0.9400663096148941,0.9410714285714286,0.9010708822029577,0.9433673469387756,0.9571428571428572,0.7674062739097169
4,"['2', '4', '5', '6', '8']","['2', '4', '5', '6', '8']",2,0.8642857142857143,0.8908163265306123,0.8328236493374108,0.8459183673469388,0.9336734693877551,0.6992864424057085,0.9426166794185157,0.9255102040816326,0.8875286916602907,0.948469387755102,0.948469387755102,0.7464285714285714
4,"['2', '4', '5', '6', '8']","['2', '4', '5', '6', '8']",3,0.8532110091743119,0.8346938775510204,0.8071428571428572,0.8704081632653061,0.8806122448979592,0.6806122448979591,0.9494897959183674,0.9329081632653061,0.8995410504844467,0.9433673469387756,0.9512755102040816,0.7648559041060954
